name,type,RD,Cache,sum_RTT,queries,total_time,cache_hits,cache_misses,num_answers
afairjudgement.com,1,0,1,0.15388798713684082,1,0.41808295249938965,2,0,2
owlcreek.com,1,0,0,0.8693797588348389,3,0.8702926635742188,,,1
owlcreek.com,1,1,0,0.749880313873291,3,0.7509729862213135,,,1
owlcreek.com,1,0,1,0.20352840423583984,1,0.9232461452484131,2,0,1
radioterminal.ru,1,0,0,0.7317183017730713,3,0.7330927848815918,,,1
radioterminal.ru,1,1,0,0.6489040851593018,3,0.6498355865478516,,,1
radioterminal.ru,1,0,1,0.17271757125854492,1,0.6992461681365967,2,0,1
junio.com,1,0,0,0.9417860507965088,3,0.9427046775817871,,,1
junio.com,1,1,0,0.9318413734436035,3,0.9332518577575684,,,1
junio.com,1,0,1,0.9381005764007568,3,5.944664001464844,1,2,1
alchemedialtd.com,1,0,0,0.5411193370819092,3,0.5422077178955078,,,1
alchemedialtd.com,1,1,0,0.843142032623291,3,0.8450791835784912,,,1
alchemedialtd.com,1,0,1,0.2123098373413086,1,0.70676589012146,2,0,1
portclydegeneralstore.com,1,0,0,0.7337679862976074,3,0.7350778579711914,,,4
portclydegeneralstore.com,1,1,0,0.7520368099212646,3,0.7544455528259277,,,4
portclydegeneralstore.com,1,0,1,0.22993063926696777,1,0.7541744709014893,2,0,4
alenpuaca.com,1,0,0,0.9308533668518066,3,0.9320170879364014,,,1
alenpuaca.com,1,1,0,0.8222460746765137,3,0.8233091831207275,,,1
alenpuaca.com,1,0,1,0.31343984603881836,1,0.5724301338195801,2,0,1
advertos.ru,1,0,0,2.1973395347595215,9,2.2013373374938965,,,1
advertos.ru,1,1,0,1.4852583408355713,6,1.487490177154541,,,1
advertos.ru,1,0,1,0.16533565521240234,1,1.347008466720581,2,0,1
kh.ua,1,0,0,0.8848142623901367,3,0.8858497142791748,,,1
kh.ua,1,1,0,0.719130277633667,3,0.7201457023620605,,,1
kh.ua,1,0,1,0.7679610252380371,3,0.7693440914154053,0,3,1
kennethehartman.com,1,0,0,0.5119802951812744,3,0.5129880905151367,,,2
kennethehartman.com,1,1,0,0.6541311740875244,3,0.6551446914672852,,,2
kennethehartman.com,1,0,1,0.6085653305053711,3,5.6153082847595215,1,2,2
hemcolubricants.com,1,0,0,1.5712921619415283,6,1.5731620788574219,,,2
hemcolubricants.com,1,1,0,1.3867297172546387,6,1.3886160850524902,,,2
hemcolubricants.com,1,0,1,0.3124570846557617,1,1.36053466796875,2,0,2
forpsi.net,1,0,0,0.9579634666442871,3,0.9590098857879639,,,1
forpsi.net,1,1,0,0.6535344123840332,3,0.6545820236206055,,,1
forpsi.net,1,0,1,0.31096720695495605,1,0.8334648609161377,2,0,1
memeblender.com,1,0,0,0.4782285690307617,3,0.47925806045532227,,,2
memeblender.com,1,1,0,0.546928882598877,3,0.5487074851989746,,,2
memeblender.com,1,0,1,0.6001713275909424,3,5.60713005065918,1,2,2
