query,type,class,first_ans_default,num_ans_RR_default,lookup_time_default,first_ans_custom,num_ans_RR_custom,lookup_time_custom,first_ans_custom_RD,num_ans_RR_custom_RD,lookup_time_custom_RD,first_ans_custom_Cache,num_ans_custom_Cache,lookup_time_custom_Cache
texasbeyondhistory.net,1,1,146.6.162.220,1,645,146.6.162.220,1,6656,146.6.162.220,1,6596,146.6.162.220,1,1221
gardenofwords.com,1,1,192.0.78.25,2,327,192.0.78.25,2,626,192.0.78.24,2,534,192.0.78.25,2,627
giuseppelivraghi.it,1,1,89.46.108.54,1,646,89.46.108.54,1,1943,89.46.108.54,1,1968,89.46.108.54,1,626
hdcric.com,1,1,159.69.42.212,4,545,95.216.161.60,4,613,95.216.161.60,4,637,95.216.161.60,4,625
chekiang.info,1,1,,0,133,,0,7359,,0,2596,,0,1242
archiportale.com,1,1,104.18.12.154,2,326,104.18.12.154,2,522,104.18.13.154,2,635,104.18.12.154,2,5542
de.vu,1,1,81.28.232.69,1,746,81.28.232.69,1,1536,81.28.232.69,1,1047,81.28.232.69,1,728
teachmyass.info,1,1,103.224.182.212,1,953,103.224.182.212,1,1654,103.224.182.212,1,1546,103.224.182.212,1,1546
nasaspaceflight.com,1,1,172.66.40.183,2,223,172.66.43.73,2,659,172.66.43.73,2,501,172.66.40.183,2,497
consumerreviews24.com,1,1,,0,1901,,0,10572,,0,10726,,0,10968
dilw.ie,1,1,35.214.43.230,1,64,35.214.43.230,1,912,35.214.43.230,1,944,35.214.43.230,1,5849
bbqinjector.com,1,1,,0,226,,0,10635,,0,10617,,0,10821
gxjbsj.com,1,1,172.247.103.2,1,566,172.247.103.2,1,714,172.247.103.2,1,740,172.247.103.2,1,830
fmnara.com,1,1,49.247.215.98,1,440,49.247.215.98,1,1333,49.247.215.98,1,1354,49.247.215.98,1,6360
pet-connect.ru,1,1,194.58.112.174,1,61,194.58.112.174,1,2809,194.58.112.174,1,2712,194.58.112.174,1,831
synchchaos.com,1,1,203.161.61.102,1,634,203.161.61.102,1,822,203.161.61.102,1,748,203.161.61.102,1,732
uca.edu,1,1,161.31.3.35,1,763,161.31.3.35,1,5921,161.31.3.35,1,5962,161.31.3.35,1,831
oaister.org,1,1,,0,540,132.174.1.212,1,1231,132.174.1.212,1,1353,132.174.1.212,1,730
chenghuavideo.asia,1,1,,0,336,,0,10036,,0,10056,,0,7180
video-peche-poisson.fr,1,1,,0,249,,0,2341,,0,2278,,0,1133
currencyrates.org,1,1,104.21.23.70,2,532,172.67.209.125,2,1138,172.67.209.125,2,1046,172.67.209.125,2,1138
zpav.pl,1,1,83.238.107.112,1,59,83.238.107.112,1,582,83.238.107.112,1,535,83.238.107.112,1,626
tawali.com,1,1,173.249.147.46,1,1253,173.249.147.46,1,621,173.249.147.46,1,638,173.249.147.46,1,626
dock2office.com,1,1,,0,350,,0,10565,,0,10635,,0,10719
vlielandoutdoorcenter.nl,1,1,185.232.249.41,1,511,185.232.249.41,1,908,185.232.249.41,1,403,185.232.249.41,1,557
gregginn.com,1,1,15.197.148.33,2,528,3.33.130.190,2,728,3.33.130.190,2,630,3.33.130.190,2,5650
arcoat.com,1,1,66.39.19.55,1,729,66.39.19.55,1,715,66.39.19.55,1,754,66.39.19.55,1,811
cushinglawoffices.com,1,1,,0,1878,,0,10625,,0,10669,,0,10818
eggcityradio.com,1,1,103.224.182.253,1,2153,,0,10727,,0,10773,,0,10252
michaelbyers.org,1,1,198.49.23.145,4,977,198.185.159.144,4,1227,198.185.159.144,4,1149,198.185.159.144,4,1240
stkpro.ru,1,1,205.251.138.125,1,646,,0,10136,,0,10220,205.251.138.125,1,770
silveropt.ru,1,1,,0,341,,0,5119,,0,4936,,0,2059
topbarbee.com,1,1,159.203.135.249,1,543,159.203.135.249,1,717,159.203.135.249,1,738,159.203.135.249,1,5745
teleskill.it,1,1,185.81.4.109,1,645,185.81.4.109,1,1024,185.81.4.109,1,1149,185.81.4.109,1,6053
virtualjerusalem.com,1,1,69.48.168.47,1,559,69.48.168.47,1,698,69.48.168.47,1,741,69.48.168.47,1,5741
morban.co.uk,1,1,,0,329,217.160.0.111,1,1136,217.160.0.111,1,1148,217.160.0.111,1,1137
mechachal.org,1,1,,0,89,,0,3323,,0,2786,,0,1034
noblewomanhood.com,1,1,74.208.236.114,1,532,74.208.236.114,1,734,74.208.236.114,1,629,74.208.236.114,1,729
cosmeticaestheticsurgery.com,1,1,15.197.148.33,2,542,3.33.130.190,2,701,3.33.130.190,2,637,3.33.130.190,2,743
note-so-easy.co.za,1,1,102.211.204.40,1,2260,102.211.204.40,1,3834,102.211.204.40,1,3767,102.211.204.40,1,2570
vietcapitaltour.com,1,1,,0,238,,0,10623,,0,10674,,0,10864
ncees.org,1,1,104.20.28.40,2,568,172.66.158.97,2,922,104.20.28.40,2,1148,104.20.28.40,2,728
laigang001.com,1,1,,0,238,,0,10722,,0,10876,,0,10968
verlockeshop.de,1,1,185.64.112.230,1,455,185.64.112.230,1,1133,185.64.112.230,1,1151,185.64.112.230,1,1203
clickdownloadfiles.com,1,1,,0,235,,0,10661,,0,10570,,0,10776
e-hps.com,1,1,,0,143,208.44.185.221,1,512,208.44.185.221,1,536,208.44.185.221,1,522
drglendza.co.rs,1,1,,0,1149,,0,7688,,0,7805,,0,4725
ghimpele.ro,1,1,,0,136,89.35.160.167,1,1124,89.35.160.167,1,1163,89.35.160.167,1,828
pahibu.net,1,1,,0,126,,0,11125,,0,11405,,0,11350
trackcheatingspouse.com,1,1,,0,258,,0,10738,,0,10790,,0,10851
dricom-hosting.nl,1,1,46.249.36.223,1,872,46.249.36.223,1,613,46.249.36.223,1,637,46.249.36.223,1,728
medipacademy.com,1,1,172.67.131.163,2,1977,104.21.4.41,2,611,104.21.4.41,2,535,104.21.4.41,2,523
e-daily.gr,1,1,104.26.13.52,3,750,172.67.70.26,3,1021,172.67.70.26,3,1252,104.26.13.52,3,1047
cuteteenschoolgirlz.com,1,1,,0,232,,0,10829,,0,10663,,0,10968
hralda.info,1,1,,0,155,,0,2457,,0,2582,,0,1139
sendrakhizonline.com,1,1,20.244.2.144,1,533,20.244.2.144,1,624,20.244.2.144,1,636,20.244.2.144,1,625
hayalforum.net,1,1,,0,234,,0,11138,,0,11183,,0,11188
begleyhutton.com,1,1,198.49.23.144,4,75,198.185.159.144,4,1717,198.185.159.145,4,1547,198.185.159.144,4,6772
bmw-parts.ru,1,1,91.236.136.97,1,539,91.236.136.97,1,924,91.236.136.97,1,755,91.236.136.97,1,664
rterc.in,1,1,147.79.69.155,2,490,93.127.173.253,2,1019,147.79.69.155,2,946,93.127.173.253,2,420
monitis.com,1,1,188.172.236.218,1,72,188.172.236.218,1,465,188.172.236.218,1,539,188.172.236.218,1,620
