query,type,class,first_ans_default,num_ans_RR_default,lookup_time_default,first_ans_custom,num_ans_RR_custom,lookup_time_custom,first_ans_custom_RD,num_ans_RR_custom_RD,lookup_time_custom_RD,first_ans_custom_Cache,num_ans_custom_Cache,lookup_time_custom_Cache
tenant-internet.com,1,1,,0,311,,0,10725,,0,10674,,0,10865
gadanguides.com,1,1,93.188.2.51,1,566,93.188.2.51,1,1331,93.188.2.51,1,1251,93.188.2.51,1,729
charityjob.co.uk,1,1,104.24.144.14,3,738,104.24.145.14,3,974,172.67.64.72,3,1004,104.24.144.14,3,730
sarahpartridge.net,1,1,,0,1871,,0,11240,,0,11190,,0,11372
ecolems.com,1,1,,0,259,51.103.54.68,1,1127,51.103.54.68,1,1150,,0,10546
marilynlingerie.com,1,1,,0,132,,0,10738,,0,10683,,0,10765
anvilnetworksolutions.net,1,1,217.160.0.13,1,655,217.160.0.13,1,1332,217.160.0.13,1,1354,217.160.0.13,1,1348
cdmail.fr,1,1,5.196.212.149,1,732,5.196.212.149,1,1443,5.196.212.149,1,1251,5.196.212.149,1,1034
freeditorial.com,1,1,51.178.246.100,1,224,51.178.246.100,1,626,51.178.246.100,1,534,51.178.246.100,1,5643
ciber.com,1,1,103.247.209.15,1,1159,103.247.209.15,1,511,103.247.209.15,1,535,103.247.209.15,1,522
get-webby.com,1,1,,0,330,,0,10634,,0,10673,,0,10673
gadgetgearpro.com,1,1,,0,244,,0,10679,,0,10619,,0,10673
sonoma-marinfair.org,1,1,104.21.34.187,2,544,172.67.163.188,2,1138,104.21.34.187,2,1001,104.21.34.187,2,876
ishidatic.com,1,1,15.197.172.60,1,648,15.197.172.60,1,715,15.197.172.60,1,840,15.197.172.60,1,730
minecraftserverdeals.com,1,1,172.67.129.48,2,1067,172.67.129.48,2,499,104.21.1.113,2,536,104.21.1.113,2,5625
romney.com,1,1,208.91.197.27,1,561,208.91.197.27,1,631,208.91.197.27,1,519,208.91.197.27,1,523
bookingnest.com,1,1,76.223.54.146,2,440,76.223.54.146,2,615,76.223.54.146,2,637,76.223.54.146,2,626
metar.gr,1,1,75.119.133.58,1,1056,75.119.133.58,1,1228,75.119.133.58,1,1252,75.119.133.58,1,5950
bigliettieventi.info,1,1,,0,132,,0,2764,,0,2787,,0,1242
asseenontvlaunchpad.com,1,1,,0,233,,0,10728,,0,10672,,0,10866
ftf.com,1,1,23.227.38.65,1,363,23.227.38.65,1,1021,23.227.38.65,1,1047,23.227.38.65,1,524
polymth.com,1,1,104.21.57.169,2,334,172.67.147.218,2,516,104.21.57.169,2,533,104.21.57.169,2,5540
crsgfk.de,1,1,,0,232,,0,4814,,0,4938,,0,1855
urbannetwork.co.uk,1,1,85.92.70.198,1,774,85.92.70.198,1,1303,85.92.70.198,1,1252,85.92.70.198,1,522
synrc.com,1,1,104.21.40.117,2,335,104.21.40.117,2,614,104.21.40.117,2,535,104.21.40.117,2,524
callcomm.info,1,1,,0,221,,0,2878,,0,2584,,0,1240
ceskykutil.cz,1,1,80.211.205.242,1,438,80.211.205.242,1,717,80.211.205.242,1,842,80.211.205.242,1,625
ximangquantrieu.com,1,1,123.31.17.119,1,1376,123.31.17.119,1,600,123.31.17.119,1,637,123.31.17.119,1,5643
shishioh.info,1,1,219.94.162.166,1,440,219.94.162.166,1,1126,219.94.162.166,1,1149,219.94.162.166,1,1037
vpndefender.com,1,1,34.234.125.61,2,235,54.224.56.57,2,614,54.224.56.57,2,535,34.234.125.61,2,728
hutago.com,1,1,118.27.125.209,1,637,118.27.125.209,1,1339,118.27.125.209,1,1252,118.27.125.209,1,1137
tangkas888.com,1,1,172.67.130.50,2,325,104.21.7.113,2,624,172.67.130.50,2,583,104.21.7.113,2,5427
egov.sy,1,1,185.216.134.58,1,686,185.216.134.58,1,414,185.216.134.58,1,792,185.216.134.58,1,592
abmcare.com,1,1,104.18.10.144,2,297,104.18.10.144,2,551,104.18.10.144,2,534,104.18.10.144,2,524
iael.com,1,1,172.104.149.86,4,540,172.104.251.198,4,615,139.162.181.76,4,638,172.104.251.198,4,626
sailor.pl,1,1,88.99.19.146,1,326,88.99.19.146,1,523,88.99.19.146,1,534,88.99.19.146,1,525
skyhightmatter.info,1,1,,0,235,,0,2457,,0,2685,,0,1137
autopareri.com,1,1,147.93.94.216,1,327,147.93.94.216,1,523,147.93.94.216,1,534,147.93.94.216,1,525
cia.it,1,1,3.248.13.228,2,606,54.228.218.49,2,754,54.228.218.49,2,740,54.228.218.49,2,626
