query,type,class,first_ans_default,num_ans_RR_default,lookup_time_default,first_ans_custom,num_ans_RR_custom,lookup_time_custom,first_ans_custom_RD,num_ans_RR_custom_RD,lookup_time_custom_RD,first_ans_custom_Cache,num_ans_custom_Cache,lookup_time_custom_Cache
likeminded.ca,1,1,198.100.154.154,1,49,198.100.154.154,1,760,198.100.154.154,1,739,198.100.154.154,1,729
alltransport.ru,1,1,141.8.192.214,1,43,141.8.192.214,1,806,141.8.192.214,1,842,141.8.192.214,1,830
brown.edu,1,1,128.148.252.151,1,438,128.148.252.151,1,5940,128.148.252.151,1,6065,128.148.252.151,1,5950
fauzanalfi.com,1,1,,0,225,,0,14629,,0,13838,,0,12626
supreetsethi.net,1,1,,0,239,,0,11147,,0,11389,,0,11185
gucenmez.com,1,1,172.67.149.173,2,250,172.67.149.173,2,508,104.21.39.228,2,534,104.21.39.228,2,511
seedy.dk,1,1,93.191.156.22,1,659,93.191.156.22,1,1328,93.191.156.22,1,1354,93.191.156.22,1,1036
51cdngo.com,1,1,,0,850,,0,10293,,0,13782,,0,10468
simple-health-reports.com,1,1,,0,143,,0,10498,,0,10687,,0,10866
hivelocitymedia.com,1,1,172.67.152.101,2,362,172.67.152.101,2,615,172.67.152.101,2,536,104.21.1.224,2,5540
jabeye.org,1,1,173.236.216.220,1,540,173.236.216.220,1,922,173.236.216.220,1,985,173.236.216.220,1,381
ticketbis.com,1,1,,0,1044,,0,13208,,0,13641,,0,14757
cellularfactory.com,1,1,208.91.197.27,1,484,208.91.197.27,1,587,208.91.197.27,1,631,208.91.197.27,1,628
tsksv.ru,1,1,91.199.149.117,1,635,91.199.149.117,1,9839,91.199.149.117,1,7292,91.199.149.117,1,948
gaybodyblog.com,1,1,148.72.167.158,1,325,148.72.167.158,1,510,148.72.167.158,1,534,148.72.167.158,1,525
datadikdki.net,1,1,,0,133,172.67.171.27,2,1127,104.21.55.109,2,1149,172.67.171.27,2,831
mumphi.de,1,1,,0,276,87.106.48.102,1,1391,87.106.48.102,1,1457,87.106.48.102,1,1341
brfone.com,1,1,13.223.25.84,2,541,13.223.25.84,2,820,13.223.25.84,2,636,13.223.25.84,2,5746
newpages2u.com,1,1,110.74.174.131,1,2019,110.74.174.131,1,956,110.74.174.131,1,1070,110.74.174.131,1,933
bigjournalism.com,1,1,104.21.75.65,2,337,104.21.75.65,2,615,104.21.75.65,2,535,172.67.215.184,2,514
congsoxanh.com,1,1,172.67.150.218,2,345,104.21.64.129,2,513,104.21.64.129,2,534,104.21.64.129,2,5541
visualtap.com,1,1,52.20.84.62,1,1462,52.20.84.62,1,717,52.20.84.62,1,741,52.20.84.62,1,829
oberoncompany.com,1,1,172.67.198.171,2,349,172.67.198.171,2,499,172.67.198.171,2,534,172.67.198.171,2,626
consejodentistas.org,1,1,213.151.115.236,1,643,213.151.115.236,1,1229,213.151.115.236,1,1061,213.151.115.236,1,5878
k-dsl.de,1,1,,0,582,,0,3979,,0,4767,,0,1856
asip.es,1,1,,0,633,,0,7486,,0,2581,,0,934
androgyn.org,1,1,217.160.0.127,1,439,217.160.0.127,1,614,217.160.0.127,1,535,217.160.0.127,1,524
panaceadream.com,1,1,,0,234,,0,10625,,0,10673,,0,10867
hotel.ch,1,1,172.67.191.193,2,665,172.67.191.193,2,1024,104.21.36.90,2,1048,104.21.36.90,2,829
c3budiman.tk,1,1,,0,1363,,0,2765,,0,2890,,0,1138
obtscan.com,1,1,,0,130,,0,10625,,0,10571,,0,10774
phoenix-music.ru,1,1,,0,348,,0,4608,,0,4938,,0,1854
motiie.com,1,1,,0,130,,0,10624,,0,10674,,0,11071
cncdesign.co.kr,1,1,175.126.62.41,1,872,175.126.62.41,1,1653,,0,10031,175.126.62.41,1,1150
udoo24.com,1,1,185.232.14.229,1,338,185.232.14.229,1,510,185.232.14.229,1,534,185.232.14.229,1,524
ljyelectronic.com,1,1,156.232.155.66,1,440,156.232.155.66,1,614,156.232.155.66,1,637,156.232.155.66,1,729
bek.ir,1,1,,0,735,,0,10146,,0,10263,,0,1547
valerievandenbroek.nl,1,1,,0,226,,0,1752,,0,1559,,0,729
lacuentaperdida.org,1,1,,0,131,,0,3381,,0,2992,,0,1241
alkoholiker-clan.de,1,1,78.46.86.91,1,636,78.46.86.91,1,1339,78.46.86.91,1,1354,78.46.86.91,1,1240
doommovie.com,1,1,172.67.206.138,2,235,104.21.50.133,2,512,104.21.50.133,2,534,172.67.206.138,2,524
xqgcab.com,1,1,,0,123,,0,10635,,0,10672,,0,10673
uanet.net,1,1,38.55.165.9,1,1581,38.55.165.9,1,1329,38.55.165.9,1,1251,38.55.165.9,1,1241
tomorrowsreflection.com,1,1,34.67.56.17,1,315,34.67.56.17,1,633,34.67.56.17,1,739,34.67.56.17,1,5615
lighthouse.cc,1,1,192.110.166.196,1,541,192.110.166.196,1,631,,0,5014,192.110.166.196,1,770
7sports.jp,1,1,150.95.219.152,1,748,150.95.219.152,1,1330,150.95.219.152,1,1252,150.95.219.152,1,1239
gamepsvita.com,1,1,172.67.145.175,2,235,172.67.145.175,2,613,104.21.73.148,2,637,172.67.145.175,2,627
thunderex.com,1,1,97.74.85.52,1,325,97.74.85.52,1,727,97.74.85.52,1,638,97.74.85.52,1,627
zamlelova.ru,1,1,79.174.69.231,1,1258,79.174.69.231,1,3278,79.174.69.231,1,2991,79.174.69.231,1,2982
