query,type,class,first_ans_default,num_ans_RR_default,lookup_time_default,first_ans_custom,num_ans_RR_custom,lookup_time_custom,first_ans_custom_RD,num_ans_RR_custom_RD,lookup_time_custom_RD,first_ans_custom_Cache,num_ans_custom_Cache,lookup_time_custom_Cache
atomicbase.com,1,1,192.252.149.20,1,535,192.252.149.20,1,750,192.252.149.20,1,710,192.252.149.20,1,831
qdushu.com,1,1,,0,132,,0,10727,,0,10672,,0,10673
raqualia.com,1,1,,0,1271,,0,10716,,0,10695,,0,14961
fanzi.pl,1,1,,0,1159,,0,7383,,0,7702,,0,5939
womenology.com,1,1,213.186.33.4,1,338,213.186.33.4,1,625,213.186.33.4,1,534,213.186.33.4,1,5540
tonaci.com,1,1,69.46.47.132,1,431,69.46.47.132,1,608,69.46.47.132,1,654,69.46.47.132,1,5746
youngsnetwork.it,1,1,,0,748,,0,3866,,0,4142,,0,1649
gvowebcast.com,1,1,104.21.83.130,2,335,104.21.83.130,2,513,172.67.176.152,2,535,172.67.176.152,2,5541
aspiringwriter.ca,1,1,,0,337,,0,2561,,0,2686,,0,1034
heygal.net,1,1,,0,197,,0,11279,,0,11218,,0,11439
mpskota.com,1,1,20.192.98.161,1,369,20.192.98.161,1,510,20.192.98.161,1,535,20.192.98.161,1,5628
ohdev.co.uk,1,1,51.89.253.246,1,658,51.89.253.246,1,1024,51.89.253.246,1,1046,51.89.253.246,1,728
topilehtipuu.com,1,1,103.224.182.253,1,5767,,0,10727,,0,10878,,0,10250
thereeftank.com,1,1,151.101.129.91,4,455,151.101.1.91,4,728,151.101.129.91,4,842,151.101.1.91,4,728
volksschule-neufahrn.de,1,1,,0,335,,0,4107,,0,4322,,0,1539
qingjiaopidaiji.com,1,1,,0,236,,0,10622,,0,10672,,0,10867
jcwcn.com,1,1,128.14.74.54,1,1068,128.14.74.54,1,1752,128.14.74.54,1,1560,,0,10750
huhgmbh.com,1,1,54.243.117.197,2,450,13.223.25.84,2,821,13.223.25.84,2,740,13.223.25.84,2,830
redcrosseth.org,1,1,65.21.72.120,1,745,65.21.72.120,1,1024,65.21.72.120,1,1062,65.21.72.120,1,1020
lookpage.org,1,1,,0,122,,0,2461,,0,2896,,0,1016
mplus.hk,1,1,159.138.153.43,1,867,159.138.153.43,1,924,159.138.153.43,1,5652,159.138.153.43,1,1138
sandieskorner.com,1,1,,0,235,,0,10731,,0,10668,,0,10866
sinemagrafik.com,1,1,,0,259,,0,10625,,0,10674,,0,10968
itattoos.org,1,1,,0,156,,0,3073,,0,2890,,0,1036
lgmonitorreview.nl,1,1,,0,119,,0,1610,,0,1699,,0,1036
sscw.ee,1,1,217.146.69.45,1,734,217.146.69.45,1,7178,217.146.69.45,1,843,217.146.69.45,1,728
nucre.com,1,1,185.53.179.170,1,439,185.53.179.170,1,1229,185.53.179.170,1,1046,185.53.179.170,1,6053
cornesoft.com,1,1,,0,234,,0,10625,,0,10487,,0,10847
mattselznick.com,1,1,44.245.84.147,1,2294,44.245.84.147,1,523,44.245.84.147,1,638,44.245.84.147,1,525
horn-elektronik.com,1,1,92.43.119.40,1,1390,92.43.119.40,1,1093,92.43.119.40,1,1148,92.43.119.40,1,935
rousing.dk,1,1,212.237.249.17,1,644,212.237.249.17,1,616,212.237.249.17,1,740,212.237.249.17,1,727
i12.de,1,1,,0,337,,0,10061,,0,10031,,0,10047
casco.com,1,1,216.150.1.1,1,1865,216.150.1.1,1,518,216.150.1.1,1,638,216.150.1.1,1,512
ambassadorsspfhf.org,1,1,,0,133,,0,2624,,0,2828,,0,940
capella.edu,1,1,104.18.41.240,2,1958,172.64.146.16,2,6065,104.18.41.240,2,6165,,0,10178
nipslab.org,1,1,89.46.108.36,1,266,89.46.108.36,1,1421,89.46.108.36,1,1493,89.46.108.36,1,938
webxtrap.com,1,1,109.234.165.168,1,350,109.234.165.168,1,616,109.234.165.168,1,627,109.234.165.168,1,740
stopallthathating.com,1,1,,0,224,,0,10636,,0,10672,,0,10963
ovtoc.com,1,1,64.190.63.222,1,469,64.190.63.222,1,614,64.190.63.222,1,637,64.190.63.222,1,728
vaco.ru,1,1,81.88.217.58,1,545,81.88.217.58,1,1576,81.88.217.58,1,7250,81.88.217.58,1,1547
ku.edu,1,1,129.237.135.76,1,646,129.237.135.76,1,5835,129.237.135.76,1,5859,129.237.135.76,1,830
amedeos.net,1,1,76.223.105.230,2,438,76.223.105.230,2,1229,76.223.105.230,2,1251,76.223.105.230,2,744
thankfullyyours.com,1,1,23.227.38.32,1,1258,23.227.38.32,1,700,23.227.38.32,1,602,23.227.38.32,1,674
elettronix.com,1,1,,0,119,217.64.201.130,1,1283,217.64.201.130,1,1197,217.64.201.130,1,1343
meintrendyhandy.de,1,1,94.143.8.110,1,540,94.143.8.110,1,1333,94.143.8.110,1,6269,94.143.8.110,1,571
a-loud.com,1,1,183.111.199.180,1,391,183.111.199.180,1,717,183.111.199.180,1,637,183.111.199.180,1,625
hznzcn.com,1,1,120.55.81.189,1,1044,120.55.81.189,1,1444,120.55.81.189,1,1499,120.55.81.189,1,6367
zilch.org,1,1,104.237.133.18,1,586,104.237.133.18,1,1545,104.237.133.18,1,1435,104.237.133.18,1,1160
metabans.com,1,1,104.21.65.104,2,1080,172.67.162.83,2,487,172.67.162.83,2,639,104.21.65.104,2,522
tretsomshop.nl,1,1,23.227.38.32,1,753,23.227.38.32,1,1237,23.227.38.32,1,1238,23.227.38.32,1,1240
gba4iosapp.com,1,1,198.49.23.144,1,226,198.49.23.144,1,622,198.49.23.144,1,638,198.49.23.144,1,761
